,City,Shootings,Lat,Lng
112,"Whitesburg, KY",4.0,37.1184318,-82.8268265
113,"Tuscaloosa, AL",5.0,33.2098407,-87.5691735
114,"Woonsocket, RI",4.0,42.0028761,-71.5147839
115,"Chicago, IL",205.0,41.8781136,-87.6297982
116,"Waynsboro, GA",4.0,33.0898731,-82.0156736
117,"Mesa, AZ",6.0,33.4151843,-111.8314724
118,"Lehigh Acres, FL",5.0,26.6253497,-81.6248026
119,"Jacksonville, FL",13.0,30.3321838,-81.655651
120,"Valdosta, GA",4.0,30.8327022,-83.2784851
121,"Bellflower, CA",4.0,33.8816818,-118.1170117
122,"Salinas, CA",11.0,36.6777372,-121.6555013
123,"Lookout Valley, TN",4.0,34.9939646,-85.3746811
124,"Englewood, IL",4.0,41.775305,-87.6416419
125,"Tulsa, OK",45.0,36.1539816,-95.992775
126,"Miami Gardens, FL",12.0,25.9420377,-80.2456045
127,"Kinloch, MO",4.0,38.7406065,-90.3253922
128,"Darlington, SC",5.0,34.2998762,-79.8761741
129,"High Point, NC",4.0,35.9556923,-80.0053176
130,"Alma, AL",4.0,31.4640524,-87.7538838
131,"LaGrange, GA",7.0,33.0362218,-85.0322444
132,"River Forest, IL",5.0,41.8978091,-87.8139483
133,"Hendersonville, NC",4.0,35.3187279,-82.4609528
134,"Habersham County, GA",5.0,34.6478893,-83.5496566
135,"Three Rivers, CA",4.0,36.4388364,-118.9045445
136,"Brooklyn (Crown Heights), NY",4.0,40.6681032,-73.9447994
137,"Waco, TX",27.0,31.549333,-97.1466695
138,"Roseville, CA",6.0,38.7521235,-121.2880059
139,"Began in Eden, TX",8.0,31.216276,-99.8456277
140,"Granger, WA",4.0,46.3420741,-120.1872727
141,"Accomack County, VA",4.0,37.7063323,-75.8069082
142,"Bridgeport, CT",14.0,41.1865478,-73.1951767
143,"Calumet City, IL",11.0,41.6155909,-87.5294871
144,"St. Petersberg, FL",4.0,27.7518284,-82.6267345
145,"Sells, AZ",5.0,31.9120215,-111.881234
146,"Lumberton, NC",4.0,34.6182199,-79.0086424
147,"Hauma, LA",4.0,29.5957696,-90.7195348
148,"Callison, SC",6.0,34.0145697,-82.1256771
149,"East Orange, NJ",4.0,40.767323,-74.2048677
150,"Mission Viejo, CA",4.0,33.6000232,-117.6719953
151,"Double Springs, AL",4.0,34.1464916,-87.4022386
152,"Houston, TX",67.0,29.7604267,-95.3698028
153,"Greenville, NC",10.0,35.612661,-77.3663538
154,"Rome, GA",4.0,34.257038,-85.1646726
155,"Meridian, MS",4.0,32.3643098,-88.703656
156,"Pine Bluff, AR",4.0,34.2284312,-92.0031955
157,"Newark, NJ",41.0,40.735657,-74.1723667
158,"Pine Hills, FL",11.0,28.5577794,-81.4534046
159,"Shreveport, LA",25.0,32.5251516,-93.7501789
160,"Lauderdale Lakes, FL",4.0,26.1664736,-80.2083806
161,"Yakima, WA",6.0,46.6020711,-120.5058987
162,"Centerville, IL",5.0,41.0655519,-90.052841
163,"Culpeper, VA",5.0,38.4729632,-77.9962512
164,"Lowell, MA",5.0,42.6334247,-71.3161718
165,"Grand Rapids, MI",4.0,42.9633599,-85.6680863
166,"Oklahoma City, OK",16.0,35.4675602,-97.5164276
167,"Erie, OH",4.0,41.4349882,-82.4752757
168,"Ottawa, KS",4.0,38.615768,-95.2686366
169,"San Carlos Park, FL",5.0,26.4673016,-81.8014742
170,"King, NC",4.0,36.2806939,-80.3592197
171,"Decatur, IL",5.0,39.8403147,-88.9548001
172,"Manson, WA",4.0,47.8847447,-120.1567011
173,"Marysville, WA",6.0,48.0517637,-122.1770818
174,"Corpus Christi, TX",4.0,27.8005828,-97.396381
175,"MOdesto, CA",16.0,37.6390972,-120.9968782
176,"Paris, TX",4.0,33.6609389,-95.555513
177,"Ocala, FL",6.0,29.1871986,-82.1400923
178,"Cyprus, TX",18.0,29.9716905,-95.6937856
179,"Troy, NY",5.0,42.7284117,-73.6917851
180,"Wilmington, CA",4.0,33.7857948,-118.2643567
181,"Raceland, LA",7.0,29.7274331,-90.5989759
182,"Toledo, OH",8.0,41.6639383,-83.555212
183,"Brooklyn Center, MN",4.0,45.076076,-93.3327283
184,"Detroit, MI",58.0,42.331427,-83.0457538
185,"Dallas, Tx",11.0,32.7766642,-96.7969879
186,"San Fernando Valley, CA",6.0,34.1825782,-118.4396756
187,"Hollister, CA",4.0,36.8524545,-121.4016021
188,"North Charlston, SC",4.0,32.8546197,-79.9748103
189,"Brooklyn (Bushwick), NY",5.0,40.6944282,-73.9212858
190,"Huntington, WV",10.0,38.4192496,-82.445154
191,"Brockton, MA",5.0,42.0834335,-71.0183787
192,"Tustin, CA",7.0,33.7458511,-117.826166
193,"Columbia, SC",4.0,34.0007104,-81.0348144
194,"Kalamazoo, MI",4.0,42.2917069,-85.5872286
195,"Detroit, Mi",47.0,42.331427,-83.0457538
196,"Chesterfield County, SC",5.0,34.6830936,-80.1428584
197,"Blytheville, AR",12.0,35.9272953,-89.9189753
198,"Dallas, TX",25.0,32.7766642,-96.7969879
199,"Manhattan, NY",9.0,40.7830603,-73.9712488
200,"Pittsburgh, PA",29.0,40.4406248,-79.9958864
201,"Florence, AL",4.0,34.79981,-87.677251
202,"Oak Lawn, IL",4.0,41.719978,-87.7479528
203,"Ashville, PA",4.0,40.5600684,-78.5486289
204,"Woodlawn, IL",4.0,41.780228,-87.5939087
205,"Sisseton, SD",5.0,45.6646815,-97.0498046
206,"Hialea, FL",7.0,25.8575963,-80.2781057
207,"San Francicsco, CA",4.0,37.7749295,-122.4194155
208,"Canton, OH",4.0,40.7989473,-81.378447
209,"Phoenix, Az",4.0,33.4483771,-112.0740373
210,"Detriot, MI",5.0,42.331427,-83.0457538
211,"Davenport, IA",5.0,41.5236437,-90.5776367
212,"West Palm Beach, FL",4.0,26.7153424,-80.0533746
213,"Suffolk, VA",4.0,36.7282054,-76.5835621
214,"Baton Rouge, LA",8.0,30.4582829,-91.1403196
215,"Oberlin, OH",4.0,41.2939386,-82.2173786
216,"Charenton, LA",4.0,29.8815936,-91.5251126
217,"Witchita, KS",7.0,37.6871761,-97.330053
218,"Breaux Bridge, LA",4.0,30.2735323,-91.8992837
219,"Kent, WA",5.0,47.3809335,-122.2348431
220,"Phoenix, AZ",23.0,33.4483771,-112.0740373
221,"Radcliff, KY",4.0,37.8403456,-85.9491298
222,"Denton, TX",4.0,33.2148412,-97.1330683
223,"Buffalo, NY",26.0,42.8864468,-78.8783689
224,"Channelview, TX",5.0,29.7760599,-95.1146533
225,"Inkster, MI",4.0,42.2942045,-83.3099303
226,"Southern Pines, NC",5.0,35.1740471,-79.3922539
227,"Sandusky, OH",7.0,41.4489396,-82.7079605
228,"Daytona Beach, FL",8.0,29.2108147,-81.0228331
229,"Arlington, TX",8.0,32.735687,-97.1080656
230,"Tucson, AZ",5.0,32.2217429,-110.926479
231,"Holly Hill, SC",5.0,33.3226624,-80.4137037
232,"Roseburg, OR",17.0,43.216505,-123.3417381
233,"Wichita, KS",13.0,37.6871761,-97.330053
234,"Manchester, IL",7.0,39.5422692,-90.3323434
235,"Springfield, MO",4.0,37.2089572,-93.2922989
236,"Fort Meyers, FL",4.0,26.640628,-81.8723084
237,"Highland, CA",5.0,34.1283442,-117.2086513
238,"Minneapolis, MN",36.0,44.977753,-93.2650108
239,"Coachella, CA",4.0,33.6803003,-116.173894
240,"West Frankfort, IL",4.0,37.8985966,-88.9233622
241,"Salem, OR",4.0,44.9428975,-123.0350963
242,"Sarasota, Fl",4.0,27.3364347,-82.5306527
243,"MOreno Valley, CA",11.0,33.9424658,-117.2296717
244,"Roanoke, VA",11.0,37.2709704,-79.9414266
245,"Kissimmee, FL",19.0,28.2919557,-81.407571
246,"Began in Riverside, CA",9.0,51.0658946,-114.0878861
247,"Salt Lake City, UT",6.0,40.7607793,-111.8910474
248,"Springfield, Ma",4.0,42.1014831,-72.589811
249,"Anchorage, AK",10.0,61.2180556,-149.9002778
250,"Taunton, MA",4.0,41.900101,-71.0897674
251,"Park Forest, IL",4.0,41.4914236,-87.6744891
252,"Nashville, TN",8.0,36.1626638,-86.7816016
253,"Opp, AL",5.0,31.2826685,-86.2555067
254,"Bradenton, FL",4.0,27.4989278,-82.5748194
255,"Westover, WV",5.0,39.6345259,-79.9697862
256,"New Orleans, LA",102.0,29.9510658,-90.0715323
257,"Muskegon, MI",4.0,43.2341813,-86.2483921
258,"Gates, NY",7.0,43.1501288,-77.6965819
259,"Gentilly, LA",4.0,30.014503,-90.0606637
