,City,Shootings,Lat,Lng
486,"Slidell, LA",8.0,30.2751945,-89.7811745
487,"Long Beach, CA",21.0,33.7700504,-118.1937395
488,"Florida City, FL",4.0,25.4478898,-80.4792237
489,"Medford, NY",4.0,40.8175985,-73.0001068
490,"Providence, RI",9.0,41.8239891,-71.4128343
491,"Calais, ME",4.0,45.1889633,-67.2786038
492,"Ridgecrest, CA",4.0,35.6224561,-117.6708966
493,"Lea County (Hobbs), NM",4.0,32.7026116,-103.1360403
494," Fort Bend County, TX",4.0,29.5692614,-95.8142885
495,"Pompano Beach, FL",4.0,26.2378597,-80.1247667
496,"East St. Louis, IL",4.0,38.624514,-90.1506465
497,"Columbus, OH",24.0,39.9611755,-82.9987942
498,"Herndon, VA",4.0,38.9695545,-77.3860976
499,"Utica, NY",5.0,43.100903,-75.232664
500,"Charleston, SC",13.0,32.7764749,-79.9310512
501,"MOscow, ID",4.0,46.7323875,-117.0001651
502,"Los Banos, CA",4.0,37.0582786,-120.8499151
503,"Vineland, NJ",4.0,39.4863773,-75.0259637
504,"Lexington, KY",14.0,38.0405837,-84.5037164
505,"Rice, TX",5.0,32.2437586,-96.4985966
506,"Tabernacle, NJ",4.0,39.8433853,-74.7107048
507,"Cleveland, OH",23.0,41.49932,-81.6943605
508,"Columbus, GA",5.0,32.4609764,-84.9877094
509,"Winton Hills, OH",5.0,39.1866941,-84.5169757
510,"New York, NY",8.0,40.7127837,-74.0059413
511,"Rockford, Il",4.0,42.2711311,-89.0939952
512,"Richmond, VA",12.0,37.5407246,-77.4360481
513,"Campbell, OH",5.0,41.0783918,-80.5992396
514,"Pleasant Valley, NY",4.0,41.7445382,-73.8212439
515,"Saginaw, MI",8.0,43.4194699,-83.9508068
516,"Las Vegas, NV",39.0,36.1699412,-115.1398296
517,"Lafayette, LA",12.0,30.2240897,-92.0198427
518,"Lillington, NC",4.0,35.399327,-78.8158528
519,"Jefferson County, AL",4.0,33.4914122,-86.9824288
520,"Cobb County, GA",11.0,33.8999297,-84.564147
521,"Barre, VT",4.0,44.1970055,-72.5020494
522,"Muskegon Heights, MI",4.0,43.2011264,-86.2389464
523,"Erwin, TN",4.0,36.1451082,-82.4168055
524,"Jonesboro, AR",8.0,35.8422967,-90.704279
525,"Paterson, NJ",15.0,40.9167654,-74.171811
526,"Arlington, VA",4.0,38.8799697,-77.1067698
527,"Kingsessing, PA",4.0,39.9391535,-75.221652
528,"Williamsport, PA",5.0,41.2411897,-77.0010786
529,"Navajo Nation, AZ",4.0,36.0672173,-109.1880047
530,"Saco, ME",5.0,43.5009176,-70.4428286
